"name","institution"
"David L. B. Schwappach","University Witten/Herdecke, Health Policy & Management, Witten, Germany Address reprint requests to David L. B. Schwappach, Department of Health Policy and Management, Faculty of Medicine, Alfred-Herrhausen-Str. 50, 58448 Witten, Germany. E."
"Scott Phillips","Buffalo State College"
"Dr. Webb","Department of Cardiovascular Sciences, Leicester Royal Infirmary"
"Frances Drummond","National Cancer Registry"
"Larry A Hembroff,","Institute for Public Policy and Social Research, Michigan State University, 321 Berkey Hall, East Lansing, MI, 48824, USA"
"Kelly K. Chappel","Colorado State University"
"B Bouma","University of Amsterdam"
"JOY BURNHAM","University of Alabama"
"N Sokpon","Universite nationale du Benin, Cotonou"
"Francesco Caponio","Department of Biology and Chemistry of Agro Forestry and Environment (DIBCA), Food Science and Technology Section, University of  Bari, Bari, Italy"
"Susan Hutchinson","University of Northern Colorado"
"Elsa Malisani","Università di Palermo"
"Christopher Sink","Seattle Pacific University"
"Kerryann Walsh","Queensland University of Technology"
"Stephen Baron","Queen's University"
"Thomas Nesme","Bordeaux Sciences Agro -- Univ. Bordeaux"
"Carroll Seron","University of California, Irvine"
"Junfang Li","Procter & Gamble Pharmaceuticals, Sharon Woods Technical Center"
"Audrey Eertmans","University of Leuven"
"Matthew W Cooke","Warwick Medical School, University of Warwick, Coventry, CV4 7AL, UK"
"Simona Balbi","Dipartimento di Matematica e StatisticaUniversità di Napoli “Federico II”Italy"
"Vijay Nair","University of Michigan, Ann Arbor"
"Stephen Clift","Canterbury Christ Church University"
"Astrid Richardsen","Norwegian School of Management"
"Joann Miller","Purdue University"
"Vangelis Alexiou","Alfa Institute of Biomedical Sciences"
"M.S. Carlotto","Psico-USF"
"Bernad Batinic","University of Linz"
"Madunil Niriella","University Medical Unit, Colombo North Teaching Hospital, Ragama, Sri Lanka"
"Ade Apoola","Department of Genito-urinary Medicine, Derbyshire Royal Infirmary"
"Emilio Ferrer","University of California"
"Thomas Perneger","University Hospitals of Geneva, Geneva, Switzerland"
"Claudia Schusterschitz","Private University of Health Sciences, Medical Informatics and Technology"
"Udo Bankhofer","Universität Augsburg"
"Mateo Vargas","Universidad Autónoma Chapingo"
"George M. Phillips","Mathematical Institute, University of St Andrews, St Andrews, UK"
"Calvin Morrill","Department of SociologyUniversity of ArizonaTucson"
"Samantha Stokes","John Hopkins Bloomberg School of Public Health"
"Wim C.M. Van Beers","Tilburg University, LE Tilburg, The Netherlands"
"Nick Dries","Department of Work, Organisational and Economic Psychology, Vrije Universiteit Brussel, Brussels, Belgium"
"Connie Smith","Performance Engineering Services, Santa Fe"
"Francisco G. Soto Mas","College of Education, University of Texas at El Paso, Texas, USA"
"Donald R. McReary","American Psychological Association"
"WILLEM ARRINDELL","University of Groningen"
"Francisco Mas","University of Texas"
"Chanyeong Kwak","Korea University"
"Curt J. Dommeyer","California State University, Northridge"
"Henry Tran","Temple University, University of South Carolina"
"Alejandro Roca-Cusachs","Spanish Nitrendipine/Enalapril Collaborative Study Group"
"Patrick Gaudreau","University of Ottawa"
"Bryan Byers","Department of Criminal Justice and Criminology, Ball State University"
"Martin Tanco","University of Navarra"
"Roger Rensvold","City University of Hong Kong"
"Yi He","Shidler College of Business, University of Hawaii."
"Shinichi Ichimura","Kyoto University"
"James Rimmer","University of Alabama at Birmingham"
"Obashina Ogunbiyi","44 Nigerian Army Reference Hospital"
"Ha T. Nguyen","Cognition Section, Laboratory of Personality and Cognition, National Institute on Aging, National Institutes of Health, Gerontology Research Center, 5600 Nathan Shock Drive, Baltimore, MD 21224, USA"
"Peter Guarino","Department of Veterans Affairs, Cooperative Studies Program Coordinating Center"
"Anne Mäkikangas","Tampere University"
"Martin Dowson","Institute of Christian Tertiary Education"
"P.S Hiremath","IET International Conference on Visual Information Engineering (VIE 2006), 2006 p. 150 – 154"
"F. Reed Johnson","American Journal of Agricultural Economics"
"Dustin C. Derby","Palmer College of Chiropractic"
"OA Ogunbiyi","44 Nigerian Army Reference Hospital"
"Mary Inman","Trinity University"
"Marat Boshernitsan","Computer Science Division (EECS) University of California Berkeley, California 94720"
"Laura Bogart","Kent State University"
"Ruth Kane","University of Ottawa"
"Elaine Strachota","Milwaukee Area Technical College"
"Paul Little","University of Southampton"
"Katherine Lind","Survey Research Laboratory, University of Illinois at Chicago"
"Songqing Shan","Department of Mech. and Manuf. Eng.University of ManitobaWinnipegCanada"
"Claude Tagny","University Teaching Hospital"
"Noah Lewin-Epstein","Tel Aviv University"
"Nosakhare Iduoriyekemwen","University of Benin"
"S. Simkin","Warneford Hospital"
"Nuno Lopes","Asociación Nacional de Psicología Evolutiva y Educativa de la Infancia"
"Thompson Teo","National University of Singapore"
"Punam Mangtani","Department of Epidemiology and Public Health, London School of Hygiene and Tropical Medicine, Keppel Street, London, WC1E 7HT, UK"
"David Jobber","University of Bradford"
"Harry Bouwman","Delft University of Technology"
"Ana Pascual","Universidad del País Vasco/EHU"
"Dominique Declerck","Catholic University Leuven"
"C. Maintier","N/A CITATION"
"James W. Varni","Texas A&M University"
"Dolores Luiz","Department of Psychology, Nelson Mandela Metropolitan University"
"Norm Constantine","Center for Research on Adolescent Health and Development, Public Health Institute, Berkeley, CA"
"J. C. Santos","Faculdade de Engenharia Química de Lorena"
"Deborah Cook","MSc(Epid)"
"Caroline Horwath","University of Otago"
"Mohammad Balal Arain","University of Sindh, Jamshoro 76080, Pakistan"
"John Wallace","Cambrudge University"
"Pedro Nuno Lopes","Universidade de Coimbra"
"Arthur Stone","Stony Brook University"
"Adam P Garrow","Diabetes Foot Clinic, Disablement Services Centre, Withington Hospital"
"Masayo Uji","Department of Clinical Behavioural SciencesKumamoto University Graduate School of Medical SciencesKumamotoJapan"
"Karen Stadnyk","Division of Geriatric Medicine, Dalhousie University, Halifax, Nova Scotia, Canada"
"Chunhua Weng","University of Washington"
"Hermann Dülmer","University of Cologne"
"Qiao Hu","Yongkang Nursing School of Zhejiang Province"
"Ulrike Ravens-Sieberer","University of Bielefeld"
"Laura L Swisher","LL Swisher, PT, PhD, is Assistant Professor, School of Physical Therapy, College of Medicine, University of South Florida, 12901 North Bruce B Downs Blvd, MDC 77, Tampa, FL 33612-4766 (USA)"
"Roger Watson","School of Nursing & Midwifery, The University of Sheffield"
"HENNESSY, MICHAEL","University of Pennsylvania"
"Heike Diefenbach","Chapel Cottage King Street"
"Francisco Perez-Gonzalez","Department of Developmental and Educational Psychology, University of Valencia"
"Alain Leplège","Hôpital de Bicêtre, Le Kremlin-Bicêtre Cedex, France"
"Giulio Vidotto","Department of General Psychology, University of Padua, Padua, Italy"
"Laura MacPherson M.S.","Joint Doctoral Program in Clinical Psychology, University of California, San Diego and San Diego State University, San Diego, CA, USA.lamacphe@ucsd.edu"
"Julie Taylor","School of Nursing and Midwifery, University of Dundee"
"Chen Xu","Shanghai Jiao Tong University"
"Fang Yang","Guangdong Center for Disease Control and Prevention"
"R. Fernández-Ballesteros","University of Madrid"
"Carsten Sauer","Bielefeld University"
"Raphael Haftka","University of Florida, Gainesville"
"Russell Ward","Francis Marion University"
"Xue Mei","University of Maryland"
"John Brazier","University of Sheffield"
"Kymberle Landrum Sterling","Center for Health Promotion and Prevention Research, University of Texas Health Science Center"
"Rossitza D. Dodunekova","University of Technology and Göteborg University, 412 96 Göteborg, Sweden"
"Ulrich Frick","University of Regensburg"
"Guy Enosh","University of Haifa"
"Luis Santos","University of Porto"
"Paula Iragüen","Department of Transport Engineering, Pontificia Universidad Católica de Chile"
"Kelly Wason","Texas Tech University"
"D. Swinne","Mycology Section, Scientific Institute of Public Health, Brussels, Belgium"
"Christophe Henry","Université Claude Bernard Lyon I"
"Martin Abraham","University of Nuremberg-Erlangen"
"Yang Shilun","East China Normal University"
"G. Wood","Royal Lancaster Infirmary"
"Katrin Auspurg","Munich University"
"Shunichi Fukuhara","Graduate School of Medicine and Education, The University of Tokyo, Tokyo, Japan"
"Mbiko Nchito","The Department of Biological Sciences, University of Zambia, Lusaka, Zambia"
"Wynn Shooter","University of Utah"
"Thomas Belin","UCLA Fielding School of Public Health"
"John McKinlay","New England Research Institutes"
"Klea D. Bertakis","Department of Family and Community Medicine and Center for Healthcare Policy and Research, University of California, Davis, Sacramento, California.."
"Mary Stansbury","University of Denver"
"Charalambos Sismanidis","London School of Hygiene & Tropical Medicine"
"ChungMee Ko","Sungshin Women's University College of Nursing, 249-1, 3Ga, Dongsun Dong, Sungbuk Gu, Seoul, Korea"
"A.P. Reis","CVRM/Centro de Geo-Sistemas, IST, Technical University of Lisbon, Portugal"
"Peter Malcolmson","Wayne State University"
"Howard Harrison Jr.","U.S. Departament of Agriculture, Agriculture Research Service"
"Riel Vermunt","University of Skovde"
"Alan Dangour","London School of Hygiene & Tropical Medicine, London"
"Kene Henkens","Netherlands Interdisciplinary Demographic Institute"
"CN Mclntosh","Health Information and Research Divisio"
"Ching-Shin Shiau","Carnegie Mellon University"
"Michael Fendrich","University of Illinois at Chicago"
"Ron Roberts","University of Westminster"
"Dawn Anderson-Butcher","Ohio State University"
"Gabriel Roseanu","Universitatea din Oradea"
"Cornelia Albani","Universitätsklinikum Leipzig, Klinik für Psychotherapie und Psychosomatische Medizin, Leipzig, Deutschland"
"Alex McBratney","University of Sydney"
"Roger Longbotham","Microsoft, One Microsoft Way Redmond USA"
"Stefan Liebig","Interdisciplinary Social Justice Research, Institute for Social Science Humboldt University Berlin, Unter den Linden 6, 10099 Berlin"
"M. Pulcini","Environmental Conservation Dept. CTS"
"Francesca Chiesi","Department of Psychology, University of Florence, Via Cittadella, 50144 Florence, Italy.f.chiesi@tin.it"
"Zachary Patterson","École Polytechnique Fédérale de Lausann, Concordia University"
"Tania Pravan","University of Canberra"
"Larisa Adenskaya","California State University, Northridge"
"Kathy Black","Not Available"
"Leigh Ramsey","New Hampshire Department of Health and Human Services"
"Ling-Feng Liu","Hefei Institute of Intelligent Machines, CASHefeiChina"
"Thomas D. Meyer","University of Tübingen"
"Didier Lecerf","CGG Technology London"
"Philippe Ravaud","Université Paris"
"Ellen Renfroe","University of Washington"
"Deborah A. Curtis","Francisco State University Correspondence curtis@sfsu.edu"
"Antonio Laface","Universidad de Concepción"
"P.S. Hiremath","Gulbarga University"
"Deborah Marshall","McMaster University"
"Evelyn Bromet","Department of Psychiatry and Behavioral Science, School of Medicine, State University of New YorkStony Brook, NY"
"Janice Raley","Department of Obstetrics and Gynecology, University of Iowa Hospitals and Clinics, 200 Hawkins Drive, Iowa City 52242, IA, USA"
"Zachary Patterson","Concordia University"
"Harold Bays","Louisville Metabolic and Atherosclerosis Research Center"
"Nancy Maserejian","Harvard University"
"Gianluca Lo Coco","Universita degli Studi di Palermo"
"Joan Manuel","Universitat Ramon Llull"
"Susan South","Purdue University"
"J.A. Taylor","UMR ITAP, Montpellier SupAgro, Bât. 21, 2 Place Viala, 34060 Montpellier, France"
"Essam Shaalan","South Valley University"
"Marc Postman","Space Telescope Science Institute"
"James Helgeson","Gonzaga University"
"James A. Taylor","Université de Montpellier"
"Christian Otto","University of Würzburg"
"Trent W. Maurer","Georgia Southern University"
"Maciej Radziejewski","Adam Mickiewicz University"
"Tomas Bonavia       email: tomas.bonavia@uv.es","Av. Blasco Ibáñez, 21  Valencia, Valencia 46010  Spain"
"WEIDONG GAO","Not Available"
"Zuo-lei Wang","Jiangsu University"
"B. Sandin","Universidad Nacional de Educación a Distancia (UNED). Madrid"
"A TIRGAR","SCHOOL OF HEALTH TEHRAN UNIVERSITY OF MEDICAL SCIENCES & HEALTH SERVICES"
"Luis Fernández-Sanz","Depto. De C. de la ComputaciónUniversidad de AlcaláMadridSpain"
"Oliver Arnold","First Department of Psychiatry Otto Wagner Spital Vienna Austria"
"Jayne Woodside","The Queen’s University of Belfast, United Kingdom"
"González Ortega","Faculty of Psychology, University of Salamanca, Salamanca, Spain"
"Richard Zimmerman","University of Pittsburgh School of Medicine"
"Marianne  L. Bell","University of Memphis"
"F.L. Melquiades","State University of Center-West, Department of Physics, P.O. Box 3010, 85015-430 Guarapuava, PR, Brazil"
"JA Eterno","Not Available"
"Rüya-Daniela Kocalevent","Charité Berlin University"
"Bonnie E. Carlson","There are no affiliations available"
"James E Brady","La Barage, INC"
"Joung-Won Lee","Chungnam National University"
"Michael Kaplowitz","Michigan State University"
"Sudeep Sharma","London School of Economics and Political Science, UK, sudeep.sharma@alumni.lse.ac.uk, Olin Business School, Washington University, St. Louis, USA"
"Robert M. Groves","Survey Research Center, University of Michigan"
"Xiaoming Li","Prevention Research Center, Carmen and Ann Adams Department of Pediatrics, Wayne State University School of Medicine"
"Christine A. LimbersMS","Department of Psychology, College of Liberal Arts, Texas A&M University, College Station, TX, USA"
"Simon Jones","Durham University"
"Campbell Aitken","Centre for Epidemiology and Population Health Research, Macfarlane Burnet Institute for Medical Research and Public Health, Melbourne, Victoria"
"Richard O'Toole","Department of Sociology, Kent State University, Kent, OH, USA"
"Christine Limbers","Texas A&M University"
"C. Li","International Journal of Psychology"
"Gordon W.Cheung","The Chinese University of Hong Kong"
"Carina Andersson","Lund University, Sweden"
"Peter Kranke","University of Würzburg"
"Heike Hölling1","Robert Koch Institute"
"Anne Shlay","Georgia State University"
"Kate Scott","Ministry of Health"
"Gerrit Hirschfeld","Universität Münster"
"C. Apfel","Oxford"
"Kathleen Mazor","University of Massachusetts Medical School"
"Kiang Meng Tay","Brunei University"
"George Blackall","The Pennsylvania State University"
"Ravindra K. Ahuja","Department of Industrial & Systems Engineering, University of Florida, P.O. Box 116595, Gainesville, FL 32611, USA Corresponding author ahuja@ufl.edu"
"Marloes Kleinjan","Addiction Research Institute, and Department of Public Health, Erasmus University Medical CentreRotterdam, The Netherlands"
"Jamshid Kalantar","University of Sydney"
"Anne Moseley","Department of Medicine, The University of Sydney"
"Clara K. Chow","The George Institute for International Health, University of Sydney, Sydney, Australia"
"Amy O'Donnell","New England Research Institutes"
"Jae Kwang Kim","Iowa State University"
"C Sommerich","The Ohio State University"
"David Chang","Altos Eye Physicians"
"Marius Thériault","Université Laval"
"Michael Galanakis","Panteio University of Social and Political Sciences"
"Chun-Li Lin","Engineering, Chang Gung University"
"Dr. Christian Apfel","UCSF Medical Center, University of Louisville"
"Pedro R. Gil-Monte","Universidad de la Laguna"
"M. Inyang","University of Ibadan, Ibadan, Nigeria"
"Souvik Paul","Indian Veterinary Research Institute"
"Rebecca P. Ang","Division of Psychology, School of Humanities and Social SciencesNanyang Technological UniversitySingapore"
"Douglas MacDonald","University of Windsor, University of Detroit Mercy"
"Ricardo Villarreal","University of Wisconsin"
"Mirco Corazzin","Dipartimento di Scienze Animali, Università di Udine"
"K.G. Smolderen","CoRPS – Center of Research on Psychology in Somatic Diseases, Department of Medical Psychology, Tilburg University, Tilburg, The Netherlands"
"Stijn Vanheule              email:    stijn.vanheule@UGent.be","Faculty of Psycology and Educational Science, Ghent University Belgium"
"Prof. Nicolas Favez","Patrice Govaerts The authors are with the Center for Family Studies, University of Lausanne and the Geneva Early Intervention Service, Switzerland"
